0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,ID
0.13957095,0.071876116,0.07006841,0.070476055,0.018806519,0.24903557,-0.038274083,0.05496537,-0.06480248,0.1276382,0.25177267,0.06281526,-0.04734787,0.2150568,0.15999177,0.045129456,0.047699764,-0.07057505,0.047039658,0.2568938,-0.1293583,0.08214509,-0.1683193,0.18316624,0.0137163885,0.063399106,0.16264156,0.010748885,-0.011065739,-0.10731409,-0.12124048,-0.00722728,1001002033997.0
0.14190936,-0.09907678,0.123809256,0.08282084,-0.10687242,0.25540712,-0.022357972,0.067868955,-0.19067375,0.043169208,0.35912097,0.046361435,-0.18153755,0.22491969,0.29490945,-0.07883018,0.011421288,-0.036764707,-0.08436915,0.3731074,-0.071111165,0.112728,-0.30814463,0.0979176,0.06083158,0.02062744,0.22774707,0.08635795,0.01792933,-0.25609213,-0.14944272,-0.13499093,1001002034330.0
0.13957095,0.07187612,0.070068404,0.07047605,0.018806519,0.24903557,-0.038274076,0.054965384,-0.06480248,0.1276382,0.25177267,0.06281526,-0.047347855,0.2150568,0.15999177,0.045129463,0.04769975,-0.07057504,0.047039658,0.2568938,-0.12935832,0.08214509,-0.1683193,0.18316622,0.013716403,0.06339913,0.16264153,0.01074887,-0.011065739,-0.10731407,-0.12124048,-0.0072272653,1001002034375.0
0.08904973,-0.030664535,0.070503496,0.113451555,-0.065949835,0.24272117,0.028596709,0.085344136,-0.13107026,0.07444647,0.2993629,-0.012962721,-0.10838849,0.21359229,0.2301732,-0.008139699,0.03213702,-0.065765485,-0.0087652495,0.32403496,-0.08838846,0.10877687,-0.23906997,0.14275911,0.045643542,0.0014990817,0.1991205,0.050159615,0.0010724287,-0.19782905,-0.12970906,-0.07312957,1001002034579.0
0.07724455,-0.021200173,0.054645803,0.13436219,-0.06642982,0.23406775,0.04587725,0.08727551,-0.11708874,0.085416645,0.28541452,-0.039734367,-0.08780082,0.21270156,0.20707972,0.0026860172,0.03296956,-0.074337825,0.0046695727,0.3092111,-0.08744788,0.108568,-0.22475618,0.15031463,0.041551784,-0.0074753524,0.1953107,0.048651602,0.0034911043,-0.1948977,-0.11741536,-0.07002448,1001004021370.0
0.1485392,-0.012646869,0.09343577,0.08810095,-0.04695679,0.2450176,-0.032810166,0.053852014,-0.12405387,0.092560396,0.3082994,0.0458556,-0.10367796,0.22125894,0.2146077,-0.019984541,0.025406435,-0.054815993,-0.023152892,0.30659556,-0.10004562,0.09742232,-0.24212761,0.14520572,0.0331734,0.04279147,0.19872858,0.052615985,0.012895405,-0.19270056,-0.12301677,-0.08236722,1001004021451.0
0.13957094,0.07187612,0.070068404,0.070476055,0.018806519,0.24903557,-0.038274076,0.054965377,-0.06480247,0.12763819,0.25177267,0.06281526,-0.04734787,0.2150568,0.15999176,0.045129463,0.047699764,-0.070575036,0.047039643,0.2568938,-0.12935834,0.08214509,-0.1683193,0.18316624,0.013716396,0.063399106,0.16264153,0.01074887,-0.011065739,-0.10731409,-0.1212405,-0.0072272876,1001004021553.0
0.13957095,0.07187612,0.07006841,0.070476055,0.018806519,0.24903557,-0.038274076,0.054965384,-0.06480248,0.1276382,0.25177267,0.06281526,-0.04734787,0.2150568,0.15999177,0.045129456,0.047699764,-0.07057504,0.047039658,0.2568938,-0.1293583,0.08214509,-0.1683193,0.18316622,0.0137163885,0.06339913,0.16264154,0.01074887,-0.011065747,-0.10731409,-0.12124048,-0.00722728,1001004021616.0
0.09937007,-0.076360285,0.08637188,0.12685901,-0.101646714,0.24097367,0.029332815,0.088127546,-0.15708499,0.060624722,0.31994414,-0.011389247,-0.1384555,0.21934548,0.25741953,-0.04893119,0.018197121,-0.06365139,-0.04493081,0.3429628,-0.071943216,0.11888875,-0.2712721,0.117158614,0.055870805,-0.006223352,0.21328285,0.074148804,0.016216407,-0.24200232,-0.12773363,-0.10750567,1001004021816.0
0.101371564,0.020173866,0.061027065,0.11406097,-0.024172781,0.24600792,0.0136929015,0.08195138,-0.081273615,0.115315035,0.24456924,0.030504016,-0.07027004,0.22406411,0.18321827,0.015706915,0.034971267,-0.09732339,0.03898255,0.2674475,-0.107795306,0.10660259,-0.17800207,0.16371988,0.025869438,0.024309479,0.1672962,0.030475825,0.0025110638,-0.14887965,-0.11185551,-0.009185429,1001013031965.0
0.105645515,-0.03547595,0.08080899,0.105988994,-0.07216479,0.24181598,0.011298068,0.07718127,-0.13922691,0.07089759,0.3144215,-0.0064265737,-0.11363806,0.21120666,0.23451266,-0.016898617,0.03035453,-0.053979952,-0.024938835,0.3310768,-0.088439874,0.10427143,-0.25256926,0.1355034,0.045801915,0.010165166,0.20538826,0.05465377,0.0016985594,-0.20697121,-0.13388851,-0.09155867,1001013031977.0
